iter	Passed	Remaining
0	779	778607
1	1533	765075
2	2250	747754
3	2833	705619
4	3174	631767
5	3522	583528
6	3944	559526
7	4412	547208
8	4793	527851
9	5211	515971
10	5645	507602
11	6079	500526
12	6531	495896
13	7019	494366
14	7468	490440
15	7872	484179
16	8276	478571
17	8699	474615
18	9121	470964
19	9824	481407
20	10388	484287
21	10748	477823
22	11027	468418
23	11322	460453
24	11652	454438
25	11932	447026
26	12194	439451
27	12463	432673
28	12795	428418
29	13093	423354
30	13495	421844
31	14090	426247
32	14388	421634
33	14685	417249
34	15011	413888
35	15290	409442
36	15581	405537
37	15860	401533
38	16147	397884
39	16456	394946
40	16824	393528
41	17150	391205
42	17493	389337
43	17883	388565
44	18244	387188
45	18613	386034
46	18890	383039
47	19172	380246
48	19451	377518
49	19713	374550
50	19989	371966
51	20244	369067
52	20529	366821
53	20794	364284
54	21041	361538
55	21283	358777
56	21531	356216
57	21809	354218
58	22108	352617
59	22432	351438
60	22705	349510
61	22967	347479
62	23331	347012
63	23611	345313
64	23909	343934
65	24198	342443
66	24464	340678
67	24691	338418
68	24949	336641
69	25195	334734
70	25459	333122
71	25715	331441
72	25959	329652
73	26208	327963
74	26468	326439
75	26716	324814
76	26967	323260
77	27216	321709
78	27504	320649
79	27751	319145
80	28007	317764
81	28238	316135
82	28490	314768
83	28737	313376
84	28998	312157
85	29248	310855
86	29486	309434
87	29714	307951
88	29941	306475
89	30166	305014
90	30393	303599
91	30618	302193
92	30830	300682
93	31052	299294
94	31330	298467
95	31545	297056
96	31766	295718
97	31998	294512
98	32218	293224
99	32456	292105
100	32720	291240
101	32960	290183
102	33226	289357
103	33516	288755
104	33777	287915
105	34016	286890
106	34272	286029
107	34493	284891
108	34723	283844
109	35298	285597
110	35774	286520
111	36516	289524
112	36887	289550
113	37304	289929
114	37777	290721
115	38179	290955
116	38520	290715
117	38915	290876
118	39365	291436
119	39774	291676
120	40214	292134
121	40607	292240
122	41069	292827
123	41508	293238
124	41995	293971
125	42426	294294
126	42890	294831
127	43313	295069
128	43709	295125
129	44144	295429
130	44610	295929
131	44902	295271
