iter	RMSE
0	6.716716932
1	6.675666444
2	6.629644158
3	6.585504057
4	6.536477954
5	6.493708143
6	6.466031496
7	6.41325338
8	6.386041779
9	6.348290474
10	6.306668377
11	6.26923326
12	6.230290041
13	6.190101086
14	6.165490619
15	6.119622221
16	6.075873208
17	6.059402202
18	6.001315592
19	5.963831183
20	5.929135564
21	5.896657264
22	5.85581879
23	5.825599812
24	5.795612168
25	5.760817242
26	5.736059685
27	5.699716519
28	5.672242827
29	5.655073151
30	5.620431865
31	5.582604984
32	5.550666449
33	5.506656591
34	5.478468129
35	5.458771726
36	5.428161797
37	5.41153566
38	5.382879247
39	5.351622931
40	5.322042043
41	5.293056026
42	5.271211048
43	5.242588641
44	5.210642394
45	5.181142979
46	5.155533335
47	5.127302131
48	5.099399201
49	5.075777681
50	5.052897749
51	5.028037768
52	4.998033472
53	4.969164046
54	4.94134199
55	4.913885646
56	4.87908833
57	4.835896512
58	4.798352384
59	4.769389387
60	4.746724551
61	4.723460229
62	4.698045472
63	4.672076969
64	4.645766508
65	4.619314785
66	4.599695425
67	4.571684742
68	4.549308488
69	4.51918716
70	4.494218279
71	4.472864486
72	4.451906334
73	4.438955394
74	4.413448383
75	4.390873285
76	4.371168732
77	4.340641411
78	4.323834537
79	4.314167382
80	4.301948612
81	4.284010705
82	4.266828361
83	4.249982613
84	4.223282822
85	4.202853385
86	4.182790683
87	4.15770241
88	4.140765846
89	4.12545742
90	4.105175839
91	4.093977812
92	4.071711565
93	4.066268043
94	4.053951418
95	4.030307084
96	4.003241858
97	3.982130236
98	3.964687753
99	3.954894812
100	3.934089319
101	3.911444917
102	3.888598502
103	3.86704983
104	3.858194926
105	3.829267257
106	3.807849908
107	3.784033392
108	3.769718587
109	3.750875261
110	3.731662197
111	3.721006328
112	3.697347395
113	3.67790959
114	3.658075376
115	3.635987274
116	3.622810887
117	3.60555977
118	3.586568091
119	3.569789046
120	3.551648199
121	3.533489051
122	3.523509377
123	3.507183513
124	3.492267448
125	3.472561255
126	3.453356109
127	3.442248775
128	3.424776202
129	3.412005496
130	3.401897347
131	3.383846948
132	3.375915585
133	3.357490262
134	3.346493652
135	3.324360519
136	3.313087672
137	3.296739602
138	3.277000146
139	3.264630138
140	3.249812973
141	3.238085118
142	3.219583229
143	3.207902691
144	3.197657098
145	3.191896562
146	3.187531088
147	3.171282352
148	3.150092322
149	3.140475993
150	3.119500613
151	3.108357317
152	3.1018004
153	3.086447619
154	3.065576859
155	3.048600905
156	3.03806904
157	3.02478411
158	3.009510937
159	2.995796657
160	2.982431035
161	2.970466542
162	2.957079383
163	2.941212766
164	2.925292439
165	2.918295779
166	2.899387017
167	2.887179144
168	2.872667644
169	2.856276199
170	2.844986094
171	2.837076314
172	2.823454862
173	2.806176782
174	2.790755759
175	2.771884621
176	2.753745129
177	2.741795779
178	2.727469725
179	2.710133219
180	2.708793905
181	2.69417653
182	2.677314158
183	2.661208176
184	2.641987376
185	2.631787225
186	2.615085439
187	2.611338184
188	2.597100686
189	2.591204585
190	2.584627021
191	2.567017261
192	2.552225467
193	2.539343622
194	2.521880768
195	2.51003589
196	2.495518976
197	2.480300377
198	2.464277717
199	2.449180225
200	2.443420765
201	2.437161666
202	2.431501179
203	2.420295177
204	2.41529712
205	2.410122905
206	2.39051066
207	2.37096955
208	2.352060859
209	2.33909695
210	2.323240773
211	2.319256249
212	2.311962318
213	2.307853059
214	2.302927203
215	2.297926906
216	2.279231361
217	2.267805479
218	2.260413355
219	2.244032803
220	2.23174496
221	2.218466186
222	2.199624042
223	2.187251751
224	2.172538805
225	2.159025667
226	2.148968334
227	2.14552859
228	2.141657751
229	2.132045478
230	2.127281844
231	2.114168306
232	2.106384115
233	2.097778235
234	2.082757909
235	2.078988072
236	2.068894528
237	2.062870063
238	2.046270254
239	2.033553191
240	2.021302199
241	2.015700745
242	2.011060199
243	2.007005602
244	1.99349286
245	1.9782012
246	1.970512017
247	1.966826333
248	1.958053481
249	1.947825685
250	1.929992396
251	1.918559917
252	1.911591201
253	1.903251081
254	1.893934691
255	1.881685091
256	1.872506903
257	1.867294166
258	1.855242066
259	1.847791746
260	1.844766267
261	1.83461999
262	1.82473046
263	1.813768003
264	1.803702177
265	1.790603083
266	1.775464021
267	1.766585719
268	1.752518628
269	1.747874136
270	1.739056462
271	1.730924082
272	1.722450549
273	1.71183036
274	1.702321625
275	1.697994982
276	1.689194663
277	1.678781591
278	1.669955505
279	1.655486992
280	1.646352499
281	1.632174576
282	1.623602873
283	1.614686386
284	1.607715813
285	1.596932296
286	1.589675147
287	1.582047457
288	1.573436974
289	1.564659999
290	1.552367974
291	1.546838391
292	1.536252283
293	1.529746965
294	1.522475695
295	1.511565134
296	1.503418292
297	1.497833046
298	1.486137581
299	1.479915003
300	1.472060489
301	1.460793494
302	1.453110307
303	1.440730686
304	1.435397983
305	1.427028554
306	1.421133206
307	1.414279033
308	1.402372477
309	1.397655862
310	1.39137155
311	1.384360522
312	1.379416262
313	1.368811366
314	1.359726026
315	1.348344476
316	1.337118593
317	1.330794537
318	1.32148593
319	1.31055563
320	1.302327392
321	1.294196406
322	1.289547926
323	1.283330181
324	1.277648094
325	1.26973509
326	1.259314209
327	1.253552487
328	1.245821085
329	1.238181967
330	1.233784264
331	1.226807053
332	1.216815904
333	1.209430508
334	1.202132741
335	1.195424305
336	1.189245117
337	1.182728357
338	1.176329736
339	1.170047333
340	1.162712507
341	1.155465051
342	1.149408255
343	1.142301868
344	1.135280122
345	1.132638312
346	1.12570633
347	1.116743693
348	1.10996687
349	1.103287736
350	1.09667109
351	1.09014961
352	1.083705887
353	1.075323364
354	1.067133711
355	1.060914451
356	1.05478708
357	1.048877928
358	1.041124507
359	1.035407643
360	1.029702845
361	1.021347343
362	1.015832819
363	1.010435629
364	1.00635414
365	1.00233962
366	0.9946911718
367	0.9895652947
368	0.9820452244
369	0.9746049301
370	0.9672436474
371	0.9634696009
372	0.956216334
373	0.948740019
374	0.9416311512
375	0.9335203089
376	0.9278375756
377	0.9242561345
378	0.9207337763
379	0.9172696091
380	0.9117089527
381	0.9062371364
382	0.902850174
383	0.8984457982
384	0.8930940038
385	0.8878275444
386	0.8845608978
387	0.8813284501
388	0.8761752913
389	0.8727407297
390	0.8693698714
391	0.8656631451
392	0.8606413226
393	0.8576567988
394	0.854351395
395	0.8494420153
396	0.8465502745
397	0.8417286994
398	0.838602797
399	0.83580711
400	0.8330709672
401	0.8303804771
402	0.826859787
403	0.8209866953
404	0.8152297032
405	0.8095864217
406	0.8040545101
407	0.7986316758
408	0.7938959614
409	0.789838623
410	0.7871874818
411	0.7825551161
412	0.7799440331
413	0.7753854419
414	0.7714859404
415	0.7689224087
416	0.7650490891
417	0.7625383301
418	0.7580992332
419	0.7523501714
420	0.7479952236
421	0.745545026
422	0.7406428045
423	0.7363879444
424	0.7344262969
425	0.7324969444
426	0.7305993749
427	0.7287330836
428	0.7268975725
429	0.7250923505
430	0.7233169333
431	0.721918692
432	0.7205412347
433	0.7191842453
434	0.7178474127
435	0.7165304309
436	0.7155381786
437	0.7145571832
438	0.7129219471
439	0.7116651829
440	0.710452141
441	0.7092210833
442	0.707651584
443	0.7047307657
444	0.7035367334
445	0.7006677105
446	0.697807133
447	0.6941560581
448	0.6913786397
449	0.6878300979
450	0.6851358351
451	0.68234681
452	0.6789042474
453	0.6744578798
454	0.6733384127
455	0.6689652615
456	0.6646594151
457	0.6635643424
458	0.6593295067
459	0.6584571576
460	0.6546270401
461	0.648440797
462	0.6423738313
463	0.6409819376
464	0.6350397747
465	0.6299633465
466	0.6242151836
467	0.6183207133
468	0.6134825556
469	0.6121567919
470	0.6066894662
471	0.6009251445
472	0.5952754952
473	0.5897386575
474	0.5843127937
475	0.5830588304
476	0.5787848648
477	0.5744444659
478	0.5731930679
479	0.5680284541
480	0.5639532776
481	0.5599196824
482	0.5586987761
483	0.5542685206
484	0.5517294178
485	0.5476849073
486	0.5452057538
487	0.5440325408
488	0.5394604655
489	0.538310564
490	0.5359037522
491	0.5347780286
492	0.5321709208
493	0.5312810474
494	0.5287121067
495	0.5276149909
496	0.5234492893
497	0.5207217575
498	0.519862394
499	0.5152427214
500	0.5141919177
501	0.5096485604
502	0.5086329634
503	0.5041645507
504	0.5031710278
505	0.4987763778
506	0.4971671143
507	0.493337781
508	0.4892685328
509	0.4877115961
510	0.4838872162
511	0.4801133267
512	0.4761383723
513	0.4722475418
514	0.4685915776
515	0.4649840424
516	0.4614244396
517	0.4576916828
518	0.4541884719
519	0.4503920358
520	0.4467010582
521	0.4433100577
522	0.4405138001
523	0.4371648563
524	0.4336776262
525	0.4302553586
526	0.4270126159
527	0.423783758
528	0.4211333456
529	0.4180192736
530	0.4148843416
531	0.4116375863
532	0.4086948745
533	0.4057030337
534	0.4025866737
535	0.3995813259
536	0.3975171944
537	0.3945661273
538	0.3929854962
539	0.3905691952
540	0.3885917965
541	0.3866506557
542	0.3839275733
543	0.3823150567
544	0.3798179697
545	0.3783490357
546	0.3760745336
547	0.3742421019
548	0.3727178193
549	0.3702920573
550	0.3679032886
551	0.3657274918
552	0.3639861731
553	0.3616520054
554	0.3590972311
555	0.3565831515
556	0.3543238297
557	0.3518718536
558	0.3496631139
559	0.346926008
560	0.3449054759
561	0.3427641962
562	0.3406477549
563	0.3383166478
564	0.3373303126
565	0.3361037991
566	0.3349716671
567	0.3338627182
568	0.3327764654
569	0.3317124325
570	0.3307991799
571	0.3297706326
572	0.3287631461
573	0.3278930477
574	0.3269192314
575	0.3260776625
576	0.3251364402
577	0.3242145395
578	0.3236717548
579	0.32313563
580	0.3209484698
581	0.3201665154
582	0.3196490139
583	0.3174937446
584	0.3153628159
585	0.3132567716
586	0.3111725853
587	0.3086604383
588	0.3061850019
589	0.3037457855
590	0.3026676289
591	0.3019420463
592	0.3012298349
593	0.3004811748
594	0.300023609
595	0.2992973196
596	0.2988528825
597	0.2968864609
598	0.2945377695
599	0.2922236285
600	0.2914387546
601	0.2907863344
602	0.2903657327
603	0.2898210445
604	0.2875572465
605	0.2867929573
606	0.2858017109
607	0.2852650542
608	0.2845204962
609	0.2839888817
610	0.2834632424
611	0.2827269439
612	0.2822062426
613	0.2814790759
614	0.2809632683
615	0.2800137691
616	0.2795025717
617	0.2787931949
618	0.2782867988
619	0.2772591557
620	0.2762031792
621	0.2751673498
622	0.2744713104
623	0.2736919283
624	0.2727721829
625	0.2718691527
626	0.2708726628
627	0.2701124916
628	0.2681461728
629	0.2662319412
630	0.2655711172
631	0.2650803989
632	0.2632018975
633	0.2613524868
634	0.2607074695
635	0.2602255348
636	0.2581993739
637	0.257564497
638	0.2570919293
639	0.2554365288
640	0.2546917053
641	0.2542281116
642	0.2537696722
643	0.2521026915
644	0.2513689777
645	0.2506545798
646	0.249018165
647	0.2482039312
648	0.2475038639
649	0.2458983212
650	0.2443186558
651	0.2436360283
652	0.2420358903
653	0.2413685092
654	0.2398300372
655	0.2390369816
656	0.2383827317
657	0.2368292583
658	0.2361895068
659	0.2346642088
660	0.2337270774
661	0.2331060532
662	0.2316161464
663	0.2307089719
664	0.2292681355
665	0.2286705678
666	0.2277961199
667	0.2261577574
668	0.225696621
669	0.2251183541
670	0.2235118541
671	0.2219332014
672	0.2214842986
673	0.2209233151
674	0.2193754584
675	0.2178545269
676	0.2174175374
677	0.2168733428
678	0.2154251129
679	0.2141483059
680	0.2127446337
681	0.2115065296
682	0.2100593022
683	0.208849955
684	0.2077106078
685	0.2063910471
686	0.2054409027
687	0.2040895599
688	0.2036169396
689	0.2031155655
690	0.20152483
691	0.200390216
692	0.199931406
693	0.1989047758
694	0.1984514205
695	0.1980036314
696	0.1967838064
697	0.195457139
698	0.1944620319
699	0.194020741
700	0.193039899
701	0.1926037876
702	0.1921730118
703	0.1912059378
704	0.1907801813
705	0.189826859
706	0.1890356197
707	0.1885849858
708	0.1874410543
709	0.1861609402
710	0.1850280867
711	0.1841124048
712	0.1836703811
713	0.1832342154
714	0.182329909
715	0.181898573
716	0.1808521105
717	0.1804270143
718	0.1793389287
719	0.1789191528
720	0.1780436808
721	0.1776285186
722	0.1761854326
723	0.1753308619
724	0.1749218724
725	0.173932574
726	0.1735294334
727	0.172694264
728	0.1713090738
729	0.1709118736
730	0.1700967024
731	0.1687476409
732	0.1678126353
733	0.1674216621
734	0.1666343918
735	0.1662476318
736	0.1651530948
737	0.1640761772
738	0.1628258554
739	0.1624530306
740	0.1614619277
741	0.1604231094
742	0.1592178315
743	0.1582071383
744	0.1572136663
745	0.1560529985
746	0.1557021551
747	0.1547163624
748	0.1542987179
749	0.1531724943
750	0.1522264523
751	0.1513031591
752	0.1509055526
753	0.1499912815
754	0.149077516
755	0.1482153863
756	0.1478312447
757	0.1469043835
758	0.1459320823
759	0.1455413477
760	0.1446376917
761	0.1436997401
762	0.1433185163
763	0.1423017943
764	0.1413021871
765	0.1403194339
766	0.1393532771
767	0.1384034627
768	0.1374697395
769	0.1365486929
770	0.1355765606
771	0.1349406764
772	0.1339903563
773	0.1331811379
774	0.1328230987
775	0.1319978393
776	0.1316540812
777	0.1313016347
778	0.1309634099
779	0.1301775581
780	0.1298297379
781	0.129037669
782	0.1286955235
783	0.1283697146
784	0.128049474
785	0.1277110431
786	0.127279507
787	0.1265170233
788	0.1259685132
789	0.1256610333
790	0.1253648707
791	0.1250619054
792	0.1244237717
793	0.1241313199
794	0.1237232888
795	0.1230985766
796	0.1228094246
797	0.1225235203
798	0.1222318466
799	0.1216209185
800	0.1213385417
801	0.121059329
802	0.1201115673
803	0.1198277976
804	0.1194391413
805	0.1185088873
806	0.1182359285
807	0.1173204648
808	0.1169481159
809	0.1160473989
810	0.1157019047
811	0.115481615
812	0.1145956807
813	0.1142571494
814	0.113924244
815	0.1134431317
816	0.1132430392
817	0.1130210525
818	0.1121547818
819	0.1115492502
820	0.1110662694
821	0.1108489321
822	0.110332325
823	0.1098796105
824	0.109373323
825	0.1091054078
826	0.1089497182
827	0.1085450559
828	0.1082799211
829	0.1077846921
830	0.1072507676
831	0.1069888372
832	0.1067297879
833	0.1062429841
834	0.1057214919
835	0.1054655367
836	0.1052123906
837	0.1047007167
838	0.1044511948
839	0.1039483078
840	0.1032766317
841	0.1030633676
842	0.1028526853
843	0.102064628
844	0.1019568954
845	0.1011804567
846	0.1010748735
847	0.1005830173
848	0.1000968551
849	0.09933923491
850	0.09923528352
851	0.0991326274
852	0.09865597994
853	0.09818484652
854	0.09798113969
855	0.09751543273
856	0.09731416383
857	0.09659240731
858	0.0961348506
859	0.09593776264
860	0.09553070158
861	0.09533728999
862	0.09488704508
863	0.09467453054
864	0.09396122396
865	0.09384922452
866	0.09340783699
867	0.09301584551
868	0.09280814957
869	0.09237396914
870	0.09216915711
871	0.09174002281
872	0.09153803981
873	0.0908497152
874	0.09042873639
875	0.09023023059
876	0.08981410352
877	0.08961830488
878	0.08894706046
879	0.0885792462
880	0.08817290861
881	0.08798153556
882	0.08757985034
883	0.08739106219
884	0.08674649773
885	0.0863928615
886	0.08620890568
887	0.08581604874
888	0.08563456903
889	0.08499473417
890	0.08460922966
891	0.08426889723
892	0.08409149063
893	0.08366221255
894	0.08348727873
895	0.08311117067
896	0.08293857029
897	0.08231937077
898	0.08190144155
899	0.08129315331
900	0.08120253561
901	0.08111311386
902	0.08070313235
903	0.08061501864
904	0.0802103192
905	0.07985338422
906	0.07969906249
907	0.07954661068
908	0.07919327186
909	0.07904247138
910	0.0784563905
911	0.07806577298
912	0.0777438844
913	0.07734107207
914	0.07725705956
915	0.0771099304
916	0.07672743842
917	0.07658228115
918	0.07624352981
919	0.07601043796
920	0.07586785386
921	0.0755331485
922	0.07530557877
923	0.07508193788
924	0.07486215086
925	0.07452217162
926	0.07417825168
927	0.07396343718
928	0.07351775474
929	0.07320309682
930	0.07299314851
931	0.07268377039
932	0.07235633974
933	0.07215120058
934	0.07172143656
935	0.07134970128
936	0.07121971882
937	0.0708550659
938	0.07077971787
939	0.07042386454
940	0.0703505868
941	0.07022221695
942	0.06987479016
943	0.06953474926
944	0.06945431676
945	0.06912239178
946	0.06885563549
947	0.06877798071
948	0.06870149549
949	0.06844059458
950	0.06836595593
951	0.06800340381
952	0.06785583878
953	0.06758656205
954	0.06719800812
955	0.06693413641
956	0.06686264616
957	0.06659419422
958	0.06621781334
959	0.06596203885
960	0.06559548519
961	0.065344806
962	0.06519663719
963	0.06511174874
964	0.0648637223
965	0.06460958531
966	0.06425647111
967	0.06408185106
968	0.06384124524
969	0.0635944318
970	0.06342195529
971	0.06317834953
972	0.06300784238
973	0.06266823135
974	0.06243721644
975	0.06220152936
976	0.06203411152
977	0.06180147231
978	0.06163594373
979	0.06140630423
980	0.06124263638
981	0.06101594945
982	0.06085411447
983	0.06063033398
