iter	Passed	Remaining
0	2	2152
1	3	1588
2	4	1428
3	5	1414
4	6	1338
5	7	1251
6	8	1162
7	9	1157
8	10	1124
9	11	1130
10	12	1135
11	13	1112
12	14	1136
13	16	1137
14	17	1147
15	18	1131
16	19	1121
17	20	1121
18	22	1156
19	23	1138
20	24	1120
21	24	1108
22	26	1108
23	27	1111
24	28	1097
25	28	1078
26	29	1063
27	30	1058
28	31	1054
29	32	1048
30	33	1044
31	34	1031
32	34	1019
33	35	1010
34	37	1032
35	38	1034
36	39	1028
37	40	1019
38	40	1009
39	42	1011
40	43	1005
41	43	1001
42	44	992
43	45	984
44	46	977
45	47	975
46	48	982
47	49	977
48	50	972
49	50	964
50	51	958
51	52	965
52	53	960
53	54	957
54	55	950
55	56	945
56	56	938
57	57	932
58	58	933
59	59	928
60	60	928
61	103	1566
62	106	1581
63	107	1579
64	112	1618
65	115	1630
66	116	1619
67	117	1609
68	118	1596
69	118	1580
70	120	1574
71	121	1560
72	121	1546
73	122	1532
74	123	1519
75	123	1505
76	124	1493
77	126	1493
78	127	1488
79	128	1483
80	130	1477
81	131	1470
82	132	1462
83	133	1454
84	134	1445
85	136	1452
86	137	1444
87	138	1435
88	139	1426
89	140	1416
90	141	1409
91	141	1400
92	142	1391
93	143	1382
94	144	1373
95	144	1363
96	145	1354
97	146	1349
98	147	1341
99	148	1337
100	149	1329
101	150	1321
102	150	1312
103	151	1304
104	152	1296
105	152	1287
106	153	1279
107	153	1271
108	154	1265
109	155	1257
110	156	1249
111	157	1246
112	158	1240
113	158	1233
114	159	1226
115	160	1220
116	160	1214
117	161	1207
118	162	1200
119	163	1195
120	163	1189
121	164	1183
122	165	1177
123	165	1171
124	166	1164
125	166	1157
126	167	1151
127	168	1146
128	169	1141
129	169	1135
130	170	1129
131	170	1123
132	171	1118
133	172	1111
134	172	1106
135	173	1103
136	174	1098
137	175	1093
138	175	1087
139	176	1082
140	176	1076
141	177	1070
142	177	1064
143	178	1059
144	178	1054
145	179	1050
146	180	1045
147	180	1041
148	181	1036
149	182	1031
150	182	1027
151	183	1022
152	183	1017
153	184	1015
154	185	1013
155	186	1009
156	187	1005
157	188	1002
158	188	997
159	189	993
160	189	989
161	190	986
162	191	982
163	192	978
164	192	974
165	193	971
166	194	967
167	194	963
168	195	961
169	196	958
170	196	954
171	197	951
172	198	948
173	199	945
174	199	941
175	200	938
176	201	935
177	201	932
178	202	930
179	203	926
180	204	923
181	204	920
182	205	916
183	205	913
184	206	910
185	207	908
186	208	905
187	208	901
188	209	898
189	210	895
190	210	893
191	211	889
192	212	889
193	213	886
194	214	884
195	214	881
196	215	878
197	216	875
198	216	872
199	217	869
200	218	867
201	218	864
202	219	861
203	220	859
204	220	856
205	221	853
206	222	850
207	222	848
208	224	847
209	224	845
210	225	842
211	225	839
212	226	836
213	227	833
214	227	831
215	228	828
216	229	827
217	229	824
218	230	823
219	231	820
220	232	818
221	232	816
222	233	813
223	233	810
224	234	809
225	235	807
226	236	805
227	237	803
228	237	800
229	238	797
230	238	795
231	239	792
232	240	791
233	241	788
234	241	786
235	242	784
236	242	781
237	243	779
238	244	777
239	244	774
240	245	772
241	246	770
242	246	768
243	247	767
244	248	765
245	248	763
246	249	760
247	250	758
248	250	756
249	251	755
250	252	753
251	253	751
