Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE ARX (%),IE GBR POLY 60 40 2 (%),IE CatBoost POLY 60 40 2 (%),IE Random Forest 70 30 (%)
194.19,14,-0.07,-0.97,58.44,18.96,-5.769,-1.977,3.873,0.824630802,92,91.45408652,86.27283476,85.94398005,88.92470288
353.3,4.7,1.98,-4.5,109.42,34.35,-6.399,-3.522,4.9605,0.708898158,NaN,87.44603709,92.25406245,92.58624,87.94700447
151.16,9.9,0.91,-1.6,49.33,15.52,-5.494,-1.646,3.57,0.891372141,85.8,89.05448136,85.91853581,85.91853581,86.89514377
222.3,8.8,-0.26,-2.36,115.04,19.16,-7.01,-3.358,5.184,0.497261774,93,89.00559774,93.0885083,93.0885083,90.86670927
60.05,4.8,-0.17,1.22,37.3,5.34,-6.816,-1.07,3.943,0.532022276,92,88.55171516,92.03079883,92.03079883,90.68992013
326.5,9.3,4.3,-4.5,25.2,37.17,-4.924,-2.529,3.7265,1.366805846,NaN,97.73140708,93.17992587,93.00731124,92.08525687
353.5,9.87,4.27,-5.3,29.54,40.82,-5.163,-1.485,3.324,0.999456226,NaN,89.42183757,92.47303949,92.49193292,91.71196933
275.4,9.1,3.46,-3.1,29.54,31.7,-5.284,-1.511,3.3975,0.954810496,NaN,88.74006371,94.5982737,94.77081369,93.52234952
261.36,8.7,3.24,-2.7,29.54,29.83,-5.302,-1.501,3.4015,0.946724546,NaN,88.45488979,95.56685946,96.48464124,94.31365176
249.35,9.6,3.1,-3.1,41.49,29.38,-5.694,-1.455,3.5745,0.808091531,NaN,88.38157268,85.65030218,86.04884205,91.9286722
151.25,10.8,2.44,-3.2,26.02,17.92,-5.969,5.844,0.0625,0.587276729,NaN,92.43161872,84.12057263,84.96962204,83.14899681
137.14,3.38,0.83,-0.4,63.32,13.44,-5.922,-2.122,4.022,0.783684211,80,85.88439268,84.34080466,84.45774388,83.57180511
131.17,4.43,-2.95,-0.46,63.32,14.71,-6.178,-0.508,3.343,0.644973545,NaN,86.20485523,86.33562123,85.92191763,86.95238978
420.43,5,-3.03,-0.9,69.3,16.86,-5.869,-2.115,3.992,0.801278636,87,86.79138358,89.81142985,90.41528668,89.16505687
194.19,3.64,-0.89,-1.8,92.42,19.13,-6.037,-2.391,4.214,0.764125069,NaN,86.25387588,85.67847301,85.05169737,87.07530032
440.4,5.5,0.25,-3.6,219.33,44.13,-5.663,-2.923,4.293,0.987956204,NaN,90.2675025,89.71289656,90.07794941,91.8077623
153.14,2.05,0.89,-1.1,83.55,14.29,-5.978,-2.062,4.02,0.760980592,NaN,85.06470137,86.33074311,86.26149104,85.43477636
277.4,9.4,4.92,-4.39,3.24,33.74,-5.211,-1.887,3.549,1.03820698,94,90.51127549,94.04065577,94.04065577,93.20710032
226.27,8,2.07,-2.57,75.27,23.45,-6.679,-2.413,4.546,0.575246132,NaN,88.81974832,89.37881421,89.21864996,89.37494569
365.4,2.4,0.87,-2.6,132.96,35.52,-5.999,-1.885,3.942,0.743315508,94.47,85.0704749,91.80922461,92.15813493,86.16540575
349.4,2.7,1.35,-2.8,112.73,34.54,-6.158,-1.973,4.0655,0.701194743,92.8,85.35840769,92.86474017,92.86474017,90.64733227
135.21,9.8,1.8,-1.9,26.02,16.17,-6.185,-1.386,3.7855,0.669827047,NaN,88.9853104,91.60674226,91.65269135,85.83391374
924.1,3.58,0.8,-4,319.61,99.45,-5.274,-3.29,4.282,1.369959677,NaN,97.55506591,92.68089916,92.5118184,91.78856805
352.5,8.88,3.7,-4.5,55.56,40.98,-5.109,-1.551,3.33,1.031478359,NaN,89.33789155,93.06461167,93.04593816,92.30130607
