Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%)
194.19,14,-0.07,-0.97,58.44,18.96,-5.769,-1.977,3.873,0.824630802,92
151.16,9.9,0.91,-1.6,49.33,15.52,-5.494,-1.646,3.57,0.891372141,85.8
222.3,8.8,-0.26,-2.36,115.04,19.16,-7.01,-3.358,5.184,0.497261774,93
60.05,4.8,-0.17,1.22,37.3,5.34,-6.816,-1.07,3.943,0.532022276,92
137.14,3.38,0.83,-0.4,63.32,13.44,-5.922,-2.122,4.022,0.783684211,80
420.43,5,-3.03,-0.9,69.3,16.86,-5.869,-2.115,3.992,0.801278636,87
277.4,9.4,4.92,-4.39,3.24,33.74,-5.211,-1.887,3.549,1.03820698,94
365.4,2.4,0.87,-2.6,132.96,35.52,-5.999,-1.885,3.942,0.743315508,94.47
349.4,2.7,1.35,-2.8,112.73,34.54,-6.158,-1.973,4.0655,0.701194743,92.8
188.33,2.2,0.38,-0.6,23.55,20.4,-5.313,-1.894,3.6035,0.993419128,95.7
155.19,7.6,0.35,0.81,29.54,17.1,-5.358,-2.302,3.83,1.037303665,96.97
176.12,4.7,-1.85,0.14,107.22,14.93,-5.9,-2.042,3.971,0.785121825,82.9
176.12,4.7,-1.85,0.14,107.22,14.93,-5.9,-2.042,3.971,0.785121825,82.9
180.16,3.5,1.8,-2.1,63.6,17.1,-6.587,-2.796,4.6915,0.608942232,77.91
180.16,3.5,1.8,-2.1,63.6,17.1,-6.587,-2.796,4.6915,0.608942232,77.91
289.4,9.7,1.83,-2.12,49.77,31.28,-5.466,-1.712,3.589,0.908630794,92
128.08,4,-1.47,-1.5,82.25,10.28,-6.967,-2.652,4.8095,0.50764774,97.7
334.39,2.74,1.83,-3.1,86.71,33.54,-6.081,-1.846,3.9635,0.717001181,79.6
122.123,4.2,1.87,-1.2,37.3,11.97,-6.661,-2.706,4.6835,0.585714286,85
107.15,9.3,1.09,-1,26.02,12.32,-6.131,-1.347,3.739,0.681647157,95
347.4,3.6,0.6,-3.1,112.73,32.52,-5.914,-2.024,3.969,0.779177378,76.9
396.4,2.4,-0.41,-3.9,113.01,37.22,-6.109,-2.801,4.455,0.769347037,92
423.5,2.15,-0.1,-3.4,125.9,40.63,-6.255,-2.889,4.572,0.721330957,82.5
423.5,2.15,-0.1,-3.4,125.9,40.63,-6.255,-2.889,4.572,0.721330957,82.5
454.5,2.3,-0.58,-3,156.09,41.44,-6.126,-2.967,4.5465,0.776669832,93.9
349.4,2.6,0.7,-2.6,112.73,33.19,-5.82,-2.612,4.216,0.867830424,95
252.34,6.8,0.4,-1.35,88.89,27.47,-5.68,-0.732,3.206,0.766774454,97.9
192.12,2.79,-1.64,0.51,132.13,15.54,-6.612,-1.975,4.2935,0.58367479,99
303.35,8.4,2.3,-2.23,55.84,32.36,-5.581,-2.486,4.0335,0.958481422,93.6
303.35,8.4,2.3,-2.23,55.84,32.36,-5.581,-2.486,4.0335,0.958481422,93.6
399.4,1.7,1.07,-4.2,83.09,42.41,-5.49,-2.897,4.1935,1.082337061,95
105.14,8.9,-1.43,0.65,52.49,11.63,-5.798,6.52,-0.361,0.597580776,88.7
73.14,11,0.76,0.54,12.03,9.72,-5.505,6.84,-0.6675,0.621101661,80.61
583.6,8,-8.2,-1.6,334.59,56.06,-5.337,0.181,2.578,0.801377311,88.5
444.4,3.09,-0.7,-2.8,182,43.65,-5.693,-3.454,4.5735,1.083742742,95.9
444.4,3.09,-0.7,-2.8,182,43.65,-5.693,-3.454,4.5735,1.083742742,95.9
165.23,9.6,1.13,-1.3,32.3,18.8,-5.886,-1.35,3.618,0.745590829,84
480.6,9.11,4.7,-5.2,52.19,54.92,-4.838,-1.303,3.0705,1.111598303,93.09
303.35,7.6,0.98,-1.7,62.3,31.41,-5.181,-1.876,3.5285,1.050378215,86
45.08,10.7,-0.13,0.9,26,5.75,-6.042,7.222,-0.59,0.572225573,96.4
167.2,8.97,-0.31,-0.88,52.49,18.2,-5.812,-1.381,3.5965,0.768111036,88
240.34,9.3,2.98,-2.8,16.13,28.41,-5.183,-1.723,3.453,1.025144509,98
252.27,8.3,2.47,-3.6,58.2,58.2,-6.445,-2.016,4.2305,0.625310454,89.4
232.23,7.5,1.47,-2.9,75.27,22.62,-6.72,-2.502,4.611,0.566382172,95
232.23,7.5,1.47,-2.9,75.27,22.62,-6.72,-2.502,4.611,0.566382172,95
318.3,9.7,2.41,-4.5,66.76,32.65,-6.067,-2.601,4.334,0.769186382,84.67
477.6,8.2,-3.1,-1.6,199.73,51.92,-5.503,4.859,0.322,0.64447018,84.65
111.1451,14.46,-0.7,0.18,54.7,12.08,-5.549,-0.315,2.932,0.777225831,95.6
68.08,7,-0.08,0.9,28.68,6.56,-5.805,-0.375,3.09,0.720073665,89
68.08,7,-0.08,0.9,28.68,6.56,-5.805,-0.375,3.09,0.720073665,89
137.14,1.82,-0.7,0.01,68.01,13.21,-6.088,-2.67,4.379,0.766822703,75.4
484.5,7.2,-7.1,-0.72,282.61,47.57,-5.852,4.514,0.669,0.610746672,90.96
241.28,4.3,5.12,-3.78,49.33,49.33,-5.44,-2.483,3.9615,1.027561718,95
267.36,9.7,2.15,-2.8,50.72,31.9,-5.584,-1.571,3.5775,0.852853227,94
171.15,2.6,-0.02,-1.5,83.87,15.82,-6.69,-3.179,4.9345,0.588293933,80
230.26,4.2,3.18,-4.16,46.53,24.81,-5.645,-2.515,4.08,0.932907348,93.14
122.12,3.35,-0.37,0.61,55.98,11.71,-6.091,-2.565,4.328,0.757799206,93.6
238.16,7.2,-0.47,-2.8,118.05,20.49,-6.456,-3.951,5.2035,0.717165669,97.6
269.4,8.4,3.77,-4,12.47,31.83,-5.27,-1.598,3.434,0.971132898,89.75
401.4,2.84,2.38,-3.7,112.74,39.61,-6.328,-2.347,4.3375,0.668801809,93.1
339.4,5.9,3.08,-4.4,49.81,36.57,-5.647,-2.456,4.0515,0.924005014,91
608.7,6.6,3.53,-4.7,117.78,66.06,-4.905,-2.329,3.617,1.313276398,94
376.4,10.2,-1.46,-3.68,155.05,37.5,-6.119,-4.021,5.07,0.919923737,83.9
822.9,1.7,2.77,-4.3,220.15,86.46,-4.855,-2.808,3.8315,1.547874939,94.7
183.19,1.6,0.45,-1.4,63.24,16.02,-7.116,-3.929,5.5225,0.463602134,83.78
214.25,2.8,-0.52,-2.4,122.06,20.38,-5.926,-2.103,4.0145,0.780931206,67.7
264.31,7.1,0.14,-2.9,97.97,26.51,-6.425,-2.424,4.4245,0.643714071,84.5
253.28,5.6,0.89,2.62,98.22,24.99,-6.175,-2.495,4.335,0.724184783,91.6
172.21,10.4,-0.62,-1.36,86.18,16.25,-6.478,-2.445,4.4615,0.629432184,93.7
249.29,8.4,0.35,-2.7,85.08,24.97,-6.419,-2.478,4.4485,0.647424512,76.9
180.16,9.9,-0.78,-1.4,67.23,16.85,-5.863,-2.073,3.968,0.8,93
180.16,8.81,-0.02,-0.9,69.3,16.86,-5.884,-2.084,3.984,0.793684211,90.6
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,3.3405,0.899803295,92
290.32,7.2,0.91,-2.86,105.51,29.71,-5.374,-1.307,3.3405,0.899803295,92
60.056,0.2,-2.11,0.96,69.11,5.1,-6.05,0.332,2.859,0.648856158,94.06
308.3,5.1,2.7,-3.89,63.6,31.93,-6.042,-2.842,4.442,0.799375,93.484
75.07,75.07,-3.21,0.87,63.32,6.65,-6.339,-0.773,3.556,0.618756737,80
250.28,6.5,-0.09,-3.51,97.97,24.39,-4.165,-2.126,3.1455,1.890387445,94
