Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE% Prediction GBR POLY 60:40,IE% Prediction catBost POLY 60:40,Random Forest 70:30
194.19,14,-0.07,-0.97,58.44,18.96 ,-5.769,-1.977,3.873,0.824630802,92,86.14966865,85.81763147,88.8272
353.3,4.7,1.98,-4.5,109.42,34.35,-6.399,-3.522,4.9605,0.708898158,,92.18877918,92.52417135,87.84004
151.16,9.9,0.91,-1.6,49.33,15.52,-5.494,-1.646,3.57,0.891372141,85.8,85.791941,85.791941,86.778
222.3,8.8,-0.26,-2.36,115.04,19.16,-7.01,-3.358,5.184,0.497261774,93,93.03130032,93.03130032,90.788
60.05,4.8,-0.17,1.22,37.3,5.34,-6.816,-1.07,3.943,0.532022276,92,91.96335495,91.96335495,90.6095
326.5,9.3,4.3,-4.5,25.2,37.17,-4.924,-2.529,3.7265,1.366805846,,93.12360257,92.94931747,92.01834
353.5,9.87,4.27,-5.3,29.54,40.82,-5.163,-1.485,3.324,0.999456226,,92.40987536,92.42895163,91.64144
275.4,9.1,3.46,-3.1,29.54,31.7,-5.284,-1.511,3.3975,0.954810496,,94.55567635,94.72988608,93.46934
261.36,8.7,3.24,-2.7,29.54,29.83,-5.302,-1.501,3.4015,0.946724546,,95.53363552,96.46029906,94.2683
249.35,9.6,3.1,-3.1,41.49,29.38,-5.694,-1.455,3.5745,0.808091531,,85.52111155,85.92350827,91.86024
151.25,10.8,2.44,-3.2,26.02,17.92,-5.969,5.844,0.0625,0.587276729,,83.97657817,84.83384419,82.9956
137.14,3.38,0.83,-0.4,63.32,13.44,-5.922,-2.122,4.022,0.783684211,80,84.19894148,84.31701237,83.4225
131.17,4.43,-2.95,-0.46,63.32,14.71,-6.178,-0.508,3.343,0.644973545,,86.21306273,85.79535554,86.8358
420.43,5,-3.03,-0.9,69.3,16.86,-5.746,-1.671,,0.808,87,85.80261209,86.65816367,89.78128
420.43,5,-3.03,-0.9,69.3,16.86,-5.869,-2.115,3.992,0.801278636,87,89.72250821,90.3322088,89.06988
194.19,3.64,-0.89,-1.8,92.42,19.13,-6.037,-2.391,4.214,0.764125069,,85.54955501,84.91671379,86.9599
440.4,5.5,0.25,-3.6,219.33,44.13,-5.663,-2.923,4.293,0.987956204,,89.62302137,89.99160699,91.73816
153.14,2.05,0.89,-1.1,83.55,14.29,-5.978,-2.062,4.02,0.760980592,,86.2081374,86.13821515,85.3035
277.4,9.4,4.92,-4.39,3.24,33.74,-5.211,-1.887,3.549,1.03820698,94,93.99266212,93.99266212,93.15104
226.27,8,2.07,-2.57,75.27,23.45,-6.679,-2.413,4.546,0.575246132,,89.28570596,89.12399173,89.2818
365.4,2.4,0.87,-2.6,132.96,35.52,-5.999,-1.885,3.942,0.743315508,94.47,91.73963646,92.09192333,86.0412
349.4,2.7,1.35,-2.8,112.73,34.54,-6.158,-1.973,4.0655,0.701194743,92.8,92.80536669,92.80536669,90.5665
135.21,9.8,1.8,-1.9,26.02,16.17,-6.185,-1.386,3.7855,0.669827047,,91.53519461,91.58158837,85.7065
924.1,3.58,0.8,-4,319.61,99.45,-5.274,-3.29,4.282,1.369959677,,92.61974657,92.44902954,91.71878
352.5,8.88,3.7,-4.5,55.56,40.98,-5.109,-1.551,3.33,1.031478359,,93.00717243,92.9883182,92.23648
252.26,4.1,2.88,-4.3,43.37,26.3,-5.604,-3.344,4.474,1.117699115,,90.47711072,90.86295304,93.06452
265.35,10,3.22,-3.4,27.63,30.11,-5.223,-1.648,3.4355,0.997062937,,93.32137523,93.32976034,92.5459
188.33,2.2,0.38,-0.6,23.55,20.4,-5.313,-1.894,3.6035,0.993419128,95.7,88.17062706,89.22335376,86.7329
267.32,7,3.1,-2.7,43.7,29.7,-5.239,-2.01,3.6245,1.045370084,,90.08054682,90.04030982,93.4284
210.23,7.8,1.15,-1.6,75.27,20.5,-6.689,-2.459,4.574,0.573522459,,93.36208572,93.36208572,88.1353
155.19,7.6,0.35,0.81,29.54,17.1,-5.358,-2.302,3.83,1.037303665,96.97,92.45864616,93.23126047,89.4509
176.12,4.7,-1.85,0.14,107.22,14.93,-5.9,-2.042,3.971,0.785121825,82.9,82.92613015,82.92613015,84.8876
180.16,3.5,1.8,-2.1,63.6,17.1,-6.587,-2.796,4.6915,0.608942232,77.91,77.97319342,77.97319342,79.626
289.4,9.7,1.83,-2.12,49.77,31.28,-5.466,-1.712,3.589,0.908630794,92,92.01097536,92.01097536,90.4392
184.19,7.8,0.65,-1.37,75.27,17.59,-6.699,-2.427,4.563,0.570458801,,92.97800862,93.01198555,88.2732
128.08,4,-1.47,-1.5,82.25,10.28,-6.967,-2.652,4.8095,0.50764774,97.7,90.26090059,90.28308797,89.43044
